Target,total_coverage,average_coverage,sample_total_cvg,sample_mean_cvg,sample_granular_Q1,sample_granular_median,sample_granular_Q3,sample_%_above_15
chr1:36931668-36932582,532628,582.11,532628,582.11,474,>500,>500,100.0
chr1:36932801-36933603,483205,601.75,483205,601.75,381,>500,>500,100.0
chr1:43814900-43815163,462722,1752.73,462722,1752.73,>500,>500,>500,100.0
chr1:115256391-115256650,39705,152.71,39705,152.71,129,137,138,100.0
chr1:115258643-115258903,487469,1867.70,487469,1867.70,>500,>500,>500,100.0
chr2:25457118-25457364,155281,628.67,155281,628.67,>500,>500,>500,100.0
chr2:25458548-25458786,460613,1927.25,460613,1927.25,>500,>500,>500,100.0
chr2:25459775-25460041,310379,1162.47,310379,1162.47,>500,>500,>500,100.0
chr2:25461953-25462195,364691,1500.79,364691,1500.79,>500,>500,>500,100.0
chr2:25463141-25463777,1085274,1703.73,1085274,1703.73,>500,>500,>500,100.0
chr2:25464397-25464634,222082,933.12,222082,933.12,>500,>500,>500,100.0
chr2:25466739-25467236,465170,934.08,465170,934.08,>500,>500,>500,100.0
chr2:25467373-25467628,203494,794.90,203494,794.90,>500,>500,>500,100.0
chr2:25468088-25468344,249829,972.10,249829,972.10,>500,>500,>500,100.0
chr2:25468857-25469301,529828,1190.62,529828,1190.62,>500,>500,>500,100.0
chr2:25469457-25469727,128012,472.37,128012,472.37,424,425,431,100.0
chr2:25469890-25470160,134416,496.00,134416,496.00,442,450,454,100.0
chr2:25470428-25470654,201545,887.86,201545,887.86,>500,>500,>500,100.0
chr2:25470878-25471316,511984,1166.25,511984,1166.25,486,>500,>500,100.0
chr2:25472496-25472720,304056,1351.36,304056,1351.36,>500,>500,>500,100.0
chr2:25475031-25475256,0,0.00,0,0.00,1,1,1,0.0
chr2:25497774-25497998,39548,175.77,39548,175.77,132,133,261,100.0
chr2:25498341-25498567,309356,1362.80,309356,1362.80,>500,>500,>500,100.0
chr2:25505227-25505673,436606,976.75,436606,976.75,>500,>500,>500,100.0
chr2:25522978-25523239,129099,492.74,129099,492.74,422,438,438,100.0
chr2:25536752-25536976,228145,1013.98,228145,1013.98,>500,>500,>500,100.0
chr2:198266432-198266898,693070,1484.09,693070,1484.09,269,>500,>500,100.0
chr2:198267158-198267798,1023676,1597.00,1023676,1597.00,>500,>500,>500,100.0
chr2:209113063-209113487,437781,1030.07,437781,1030.07,>500,>500,>500,100.0
chr3:38181853-38182515,717418,1082.08,717418,1082.08,494,>500,>500,100.0
chr3:38182593-38182867,206913,752.41,206913,752.41,>500,>500,>500,100.0
chr3:105438859-105439305,288808,646.10,288808,646.10,456,>500,>500,100.0
chr3:105452823-105453095,77602,284.26,77602,284.26,255,261,262,100.0
chr3:128199834-128200320,213582,438.57,213582,438.57,271,438,445,100.0
chr3:128200616-128200887,53255,195.79,53255,195.79,172,188,188,100.0
chr3:128202671-128202898,237705,1042.57,237705,1042.57,>500,>500,>500,100.0
chr3:128204540-128205382,686237,814.04,686237,814.04,403,>500,>500,100.0
chr3:128205614-128206075,302709,655.21,302709,655.21,277,>500,>500,100.0
chr4:55140978-55141252,236007,858.21,236007,858.21,>500,>500,>500,100.0
chr4:55144031-55144259,521910,2279.08,521910,2279.08,>500,>500,>500,100.0
chr4:55151978-55152212,500350,2129.15,500350,2129.15,>500,>500,>500,100.0
chr4:55561648-55562090,1078483,2434.50,1078483,2434.50,>500,>500,>500,100.0
chr4:55589716-55589940,549125,2440.56,549125,2440.56,>500,>500,>500,100.0
chr4:55591995-55592269,104533,380.12,104533,380.12,344,350,351,100.0
chr4:55593354-55593824,663774,1409.29,663774,1409.29,>500,>500,>500,100.0
chr4:55594147-55594419,269377,986.73,269377,986.73,>500,>500,>500,100.0
chr4:55599204-55599472,132033,490.83,132033,490.83,437,440,440,100.0
chr4:106154926-106158692,10546700,2799.76,10546700,2799.76,>500,>500,>500,100.0
chr4:106162404-106162670,311861,1168.02,311861,1168.02,>500,>500,>500,100.0
chr4:106163951-106164179,546202,2385.16,546202,2385.16,>500,>500,>500,100.0
chr4:106164701-106164966,556128,2090.71,556128,2090.71,>500,>500,>500,100.0
chr4:106180744-106181005,339520,1295.88,339520,1295.88,>500,>500,>500,100.0
chr4:106182810-106183050,437466,1815.21,437466,1815.21,>500,>500,>500,100.0
chr4:106190735-106190981,157811,638.91,157811,638.91,>500,>500,>500,100.0
chr4:106193691-106194163,792684,1675.86,792684,1675.86,>500,>500,>500,100.0
chr4:106196077-106197717,3653558,2226.42,3653558,2226.42,>500,>500,>500,100.0
chr4:153245306-153245758,711268,1570.13,711268,1570.13,>500,>500,>500,100.0
chr4:153247128-153247584,370496,810.71,370496,810.71,228,>500,>500,100.0
chr4:153249332-153249764,499959,1154.64,499959,1154.64,>500,>500,>500,100.0
chr5:170837493-170837717,290822,1292.54,290822,1292.54,>500,>500,>500,100.0
chr7:50358629-50358889,382565,1465.77,382565,1465.77,>500,>500,>500,100.0
chr7:50367205-50367433,421203,1839.31,421203,1839.31,>500,>500,>500,100.0
chr7:50444202-50444666,662186,1424.06,662186,1424.06,>500,>500,>500,100.0
chr7:50450213-50450462,368719,1474.88,368719,1474.88,>500,>500,>500,100.0
chr7:50455014-50455274,79336,303.97,79336,303.97,260,269,269,100.0
chr7:50459398-50459640,469473,1931.99,469473,1931.99,>500,>500,>500,100.0
chr7:50467593-50468449,952751,1111.73,952751,1111.73,452,>500,>500,100.0
chr7:101459282-101459534,6283,24.83,6283,24.83,22,23,23,100.0
chr7:101460891-101461145,237565,931.63,237565,931.63,>500,>500,>500,100.0
chr7:101559366-101559608,336667,1385.46,336667,1385.46,>500,>500,>500,100.0
chr7:101671351-101671597,334061,1352.47,334061,1352.47,>500,>500,>500,100.0
chr7:101713588-101713862,407038,1480.14,407038,1480.14,>500,>500,>500,100.0
chr7:101740617-101740883,398068,1490.89,398068,1490.89,>500,>500,>500,100.0
chr7:101747571-101747799,653205,2852.42,653205,2852.42,>500,>500,>500,100.0
chr7:101754951-101755197,451858,1829.38,451858,1829.38,>500,>500,>500,100.0
chr7:101758386-101758618,414220,1777.77,414220,1777.77,>500,>500,>500,100.0
chr7:101801813-101802047,465894,1982.53,465894,1982.53,>500,>500,>500,100.0
chr7:101813697-101813965,267888,995.87,267888,995.87,>500,>500,>500,100.0
chr7:101821720-101822148,358608,835.92,358608,835.92,>500,>500,>500,100.0
chr7:101833060-101833300,188302,781.34,188302,781.34,>500,>500,>500,100.0
chr7:101837095-101837325,782866,3389.03,782866,3389.03,>500,>500,>500,100.0
chr7:101838760-101839026,146300,547.94,146300,547.94,483,490,490,100.0
chr7:101839885-101840713,909841,1097.52,909841,1097.52,>500,>500,>500,100.0
chr7:101842051-101842295,295812,1207.40,295812,1207.40,>500,>500,>500,100.0
chr7:101843326-101843592,415064,1554.55,415064,1554.55,>500,>500,>500,100.0
chr7:101844615-101845666,1407781,1338.19,1407781,1338.19,>500,>500,>500,100.0
chr7:101847648-101847914,203507,762.20,203507,762.20,>500,>500,>500,100.0
chr7:101848357-101848629,103014,377.34,103014,377.34,342,343,344,100.0
