Target,total_coverage,average_coverage,sample_total_cvg,sample_mean_cvg,sample_granular_Q1,sample_granular_median,sample_granular_Q3,sample_%_above_15
chr1:36931668-36932582,803901,878.58,803901,878.58,>500,>500,>500,100.0
chr1:36932801-36933603,514267,640.43,514267,640.43,423,>500,>500,100.0
chr1:43814900-43815163,340238,1288.78,340238,1288.78,>500,>500,>500,100.0
chr1:115256391-115256650,32087,123.41,32087,123.41,106,109,110,100.0
chr1:115258643-115258903,514199,1970.11,514199,1970.11,>500,>500,>500,100.0
chr2:25457118-25457364,203372,823.37,203372,823.37,>500,>500,>500,100.0
chr2:25458548-25458786,584680,2446.36,584680,2446.36,>500,>500,>500,100.0
chr2:25459775-25460041,469821,1759.63,469821,1759.63,>500,>500,>500,100.0
chr2:25461953-25462195,394745,1624.47,394745,1624.47,>500,>500,>500,100.0
chr2:25463141-25463777,1342969,2108.27,1342969,2108.27,>500,>500,>500,100.0
chr2:25464397-25464634,297546,1250.19,297546,1250.19,>500,>500,>500,100.0
chr2:25466739-25467236,697073,1399.74,697073,1399.74,>500,>500,>500,100.0
chr2:25467373-25467628,285647,1115.81,285647,1115.81,>500,>500,>500,100.0
chr2:25468088-25468344,317423,1235.11,317423,1235.11,>500,>500,>500,100.0
chr2:25468857-25469301,792392,1780.66,792392,1780.66,>500,>500,>500,100.0
chr2:25469457-25469727,156023,575.73,156023,575.73,>500,>500,>500,100.0
chr2:25469890-25470160,144217,532.17,144217,532.17,475,483,484,100.0
chr2:25470428-25470654,219103,965.21,219103,965.21,>500,>500,>500,100.0
chr2:25470878-25471316,529936,1207.14,529936,1207.14,>500,>500,>500,100.0
chr2:25472496-25472720,323886,1439.49,323886,1439.49,>500,>500,>500,100.0
chr2:25475031-25475256,0,0.00,0,0.00,1,1,1,0.0
chr2:25497774-25497998,54524,242.33,54524,242.33,182,185,358,100.0
chr2:25498341-25498567,368038,1621.31,368038,1621.31,>500,>500,>500,100.0
chr2:25505227-25505673,494009,1105.17,494009,1105.17,>500,>500,>500,100.0
chr2:25522978-25523239,140010,534.39,140010,534.39,462,473,473,100.0
chr2:25536752-25536976,351696,1563.09,351696,1563.09,>500,>500,>500,100.0
chr2:198266432-198266898,1264978,2708.73,1264978,2708.73,460,>500,>500,100.0
chr2:198267158-198267798,1324017,2065.55,1324017,2065.55,>500,>500,>500,100.0
chr2:209113063-209113487,453462,1066.97,453462,1066.97,>500,>500,>500,100.0
chr3:38181853-38182515,850107,1282.21,850107,1282.21,>500,>500,>500,100.0
chr3:38182593-38182867,254076,923.91,254076,923.91,>500,>500,>500,100.0
chr3:105438859-105439305,282863,632.80,282863,632.80,470,485,>500,100.0
chr3:105452823-105453095,117207,429.33,117207,429.33,386,392,393,100.0
chr3:128199834-128200320,243419,499.83,243419,499.83,373,437,446,100.0
chr3:128200616-128200887,49878,183.38,49878,183.38,161,177,178,100.0
chr3:128202671-128202898,282599,1239.47,282599,1239.47,>500,>500,>500,100.0
chr3:128204540-128205382,814108,965.73,814108,965.73,404,>500,>500,100.0
chr3:128205614-128206075,352426,762.83,352426,762.83,326,>500,>500,100.0
chr4:55140978-55141252,326252,1186.37,326252,1186.37,>500,>500,>500,100.0
chr4:55144031-55144259,500650,2186.24,500650,2186.24,>500,>500,>500,100.0
chr4:55151978-55152212,637895,2714.45,637895,2714.45,>500,>500,>500,100.0
chr4:55561648-55562090,955523,2156.94,955523,2156.94,>500,>500,>500,100.0
chr4:55589716-55589940,694407,3086.25,694407,3086.25,>500,>500,>500,100.0
chr4:55591995-55592269,201921,734.26,201921,734.26,>500,>500,>500,100.0
chr4:55593354-55593824,728485,1546.68,728485,1546.68,>500,>500,>500,100.0
chr4:55594147-55594419,422142,1546.31,422142,1546.31,>500,>500,>500,100.0
chr4:55599204-55599472,117954,438.49,117954,438.49,385,398,399,100.0
chr4:106154926-106158692,13151256,3491.17,13151256,3491.17,>500,>500,>500,100.0
chr4:106162404-106162670,442544,1657.47,442544,1657.47,>500,>500,>500,100.0
chr4:106163951-106164179,665170,2904.67,665170,2904.67,>500,>500,>500,100.0
chr4:106164701-106164966,567651,2134.03,567651,2134.03,>500,>500,>500,100.0
chr4:106180744-106181005,437906,1671.40,437906,1671.40,>500,>500,>500,100.0
chr4:106182810-106183050,760848,3157.05,760848,3157.05,>500,>500,>500,100.0
