Target,total_coverage,average_coverage,sample_total_cvg,sample_mean_cvg,sample_granular_Q1,sample_granular_median,sample_granular_Q3,sample_%_above_15
chr1:36931668-36932582,728191,795.84,728191,795.84,>500,>500,>500,100.0
chr1:36932801-36933603,638197,794.77,638197,794.77,>500,>500,>500,100.0
chr1:43814900-43815163,607633,2301.64,607633,2301.64,>500,>500,>500,100.0
chr1:115256391-115256650,32926,126.64,32926,126.64,109,111,111,100.0
chr1:115258643-115258903,700455,2683.74,700455,2683.74,>500,>500,>500,100.0
chr2:25457118-25457364,176477,714.48,176477,714.48,>500,>500,>500,100.0
chr2:25458548-25458786,629501,2633.90,629501,2633.90,>500,>500,>500,100.0
chr2:25459775-25460041,485062,1816.71,485062,1816.71,>500,>500,>500,100.0
chr2:25461953-25462195,608686,2504.88,608686,2504.88,>500,>500,>500,100.0
chr2:25463141-25463777,1689286,2651.94,1689286,2651.94,>500,>500,>500,100.0
chr2:25464397-25464634,278923,1171.95,278923,1171.95,>500,>500,>500,100.0
chr2:25466739-25467236,650270,1305.76,650270,1305.76,>500,>500,>500,100.0
chr2:25467373-25467628,309708,1209.80,309708,1209.80,>500,>500,>500,100.0
chr2:25468088-25468344,430490,1675.06,430490,1675.06,>500,>500,>500,100.0
chr2:25468857-25469301,746746,1678.08,746746,1678.08,>500,>500,>500,100.0
chr2:25469457-25469727,163774,604.33,163774,604.33,>500,>500,>500,100.0
chr2:25469890-25470160,131734,486.10,131734,486.10,431,445,446,100.0
chr2:25470428-25470654,343268,1512.19,343268,1512.19,>500,>500,>500,100.0
chr2:25470878-25471316,716447,1632.00,716447,1632.00,>500,>500,>500,100.0
chr2:25472496-25472720,295896,1315.09,295896,1315.09,>500,>500,>500,100.0
chr2:25475031-25475256,755,3.34,755,3.34,1,6,6,0.0
chr2:25497774-25497998,48951,217.56,48951,217.56,162,166,324,100.0
chr2:25498341-25498567,337128,1485.15,337128,1485.15,>500,>500,>500,100.0
chr2:25505227-25505673,494955,1107.28,494955,1107.28,>500,>500,>500,100.0
chr2:25522978-25523239,186058,710.15,186058,710.15,>500,>500,>500,100.0
chr2:25536752-25536976,342670,1522.98,342670,1522.98,>500,>500,>500,100.0
chr2:198266432-198266898,1210621,2592.34,1210621,2592.34,281,>500,>500,100.0
chr2:198267158-198267798,1186177,1850.51,1186177,1850.51,>500,>500,>500,100.0
chr2:209113063-209113487,600959,1414.02,600959,1414.02,>500,>500,>500,100.0
chr3:38181853-38182515,1036826,1563.84,1036826,1563.84,>500,>500,>500,100.0
chr3:38182593-38182867,276570,1005.71,276570,1005.71,>500,>500,>500,100.0
chr3:105438859-105439305,339092,758.60,339092,758.60,446,>500,>500,100.0
chr3:105452823-105453095,101786,372.84,101786,372.84,335,342,342,100.0
chr3:128199834-128200320,300036,616.09,300036,616.09,440,>500,>500,100.0
chr3:128200616-128200887,88696,326.09,88696,326.09,289,307,308,100.0
chr3:128202671-128202898,338052,1482.68,338052,1482.68,>500,>500,>500,100.0
chr3:128204540-128205382,796615,944.98,796615,944.98,446,>500,>500,100.0
chr3:128205614-128206075,394670,854.26,394670,854.26,345,>500,>500,100.0
chr4:55140978-55141252,319802,1162.92,319802,1162.92,>500,>500,>500,100.0
chr4:55144031-55144259,616350,2691.48,616350,2691.48,>500,>500,>500,100.0
chr4:55151978-55152212,700391,2980.39,700391,2980.39,>500,>500,>500,100.0
chr4:55561648-55562090,1341727,3028.73,1341727,3028.73,>500,>500,>500,100.0
chr4:55589716-55589940,615396,2735.09,615396,2735.09,>500,>500,>500,100.0
chr4:55591995-55592269,121817,442.97,121817,442.97,401,407,408,100.0
chr4:55593354-55593824,881918,1872.44,881918,1872.44,>500,>500,>500,100.0
chr4:55594147-55594419,416940,1527.25,416940,1527.25,>500,>500,>500,100.0
chr4:55599204-55599472,120217,446.90,120217,446.90,396,402,403,100.0
chr4:106154926-106158692,14203088,3770.40,14203088,3770.40,>500,>500,>500,100.0
chr4:106162404-106162670,593391,2222.44,593391,2222.44,>500,>500,>500,100.0
chr4:106163951-106164179,826198,3607.85,826198,3607.85,>500,>500,>500,100.0
chr4:106164701-106164966,792490,2979.29,792490,2979.29,>500,>500,>500,100.0
chr4:106180744-106181005,510994,1950.36,510994,1950.36,>500,>500,>500,100.0
chr4:106182810-106183050,497255,2063.30,497255,2063.30,>500,>500,>500,100.0
chr4:106190735-106190981,180535,730.91,180535,730.91,>500,>500,>500,100.0
chr4:106193691-106194163,1240899,2623.47,1240899,2623.47,>500,>500,>500,100.0
chr4:106196077-106197717,4612787,2810.96,4612787,2810.96,>500,>500,>500,100.0
chr4:153245306-153245758,735651,1623.95,735651,1623.95,>500,>500,>500,100.0
chr4:153247128-153247584,430797,942.66,430797,942.66,369,>500,>500,100.0
chr4:153249332-153249764,442935,1022.94,442935,1022.94,>500,>500,>500,100.0
chr5:170837493-170837717,339378,1508.35,339378,1508.35,>500,>500,>500,100.0
chr7:50358629-50358889,441056,1689.87,441056,1689.87,>500,>500,>500,100.0
chr7:50367205-50367433,509205,2223.60,509205,2223.60,>500,>500,>500,100.0
chr7:50444202-50444666,1144739,2461.80,1144739,2461.80,>500,>500,>500,100.0
chr7:50450213-50450462,498676,1994.70,498676,1994.70,>500,>500,>500,100.0
chr7:50455014-50455274,93856,359.60,93856,359.60,310,315,316,100.0
chr7:50459398-50459640,542533,2232.65,542533,2232.65,>500,>500,>500,100.0
chr7:50467593-50468449,1295535,1511.71,1295535,1511.71,>500,>500,>500,100.0
chr7:101459282-101459534,1554,6.14,1554,6.14,5,8,8,0.0
chr7:101460891-101461145,289950,1137.06,289950,1137.06,>500,>500,>500,100.0
chr7:101559366-101559608,463008,1905.38,463008,1905.38,>500,>500,>500,100.0
