Target,total_coverage,average_coverage,sample_total_cvg,sample_mean_cvg,sample_granular_Q1,sample_granular_median,sample_granular_Q3,sample_%_above_15
chr1:36931668-36932582,581376,635.38,581376,635.38,438,>500,>500,100.0
chr1:36932801-36933603,448650,558.72,448650,558.72,369,>500,>500,100.0
chr1:43814900-43815163,492797,1866.66,492797,1866.66,>500,>500,>500,100.0
chr1:115256391-115256650,44488,171.11,44488,171.11,148,151,151,100.0
chr1:115258643-115258903,464931,1781.34,464931,1781.34,>500,>500,>500,100.0
chr2:25457118-25457364,138577,561.04,138577,561.04,456,467,467,100.0
chr2:25458548-25458786,431715,1806.34,431715,1806.34,>500,>500,>500,100.0
chr2:25459775-25460041,278908,1044.60,278908,1044.60,>500,>500,>500,100.0
chr2:25461953-25462195,332415,1367.96,332415,1367.96,>500,>500,>500,100.0
chr2:25463141-25463777,1027599,1613.19,1027599,1613.19,>500,>500,>500,100.0
chr2:25464397-25464634,203426,854.73,203426,854.73,>500,>500,>500,100.0
chr2:25466739-25467236,488558,981.04,488558,981.04,>500,>500,>500,100.0
chr2:25467373-25467628,211550,826.37,211550,826.37,>500,>500,>500,100.0
chr2:25468088-25468344,240844,937.14,240844,937.14,>500,>500,>500,100.0
chr2:25468857-25469301,487376,1095.23,487376,1095.23,>500,>500,>500,100.0
chr2:25469457-25469727,125669,463.72,125669,463.72,416,419,422,100.0
chr2:25469890-25470160,111921,412.99,111921,412.99,369,376,379,100.0
chr2:25470428-25470654,208421,918.15,208421,918.15,>500,>500,>500,100.0
chr2:25470878-25471316,502062,1143.65,502062,1143.65,475,>500,>500,100.0
chr2:25472496-25472720,256861,1141.60,256861,1141.60,>500,>500,>500,100.0
chr2:25475031-25475256,0,0.00,0,0.00,1,1,1,0.0
chr2:25497774-25497998,42152,187.34,42152,187.34,139,145,278,100.0
chr2:25498341-25498567,336674,1483.15,336674,1483.15,>500,>500,>500,100.0
chr2:25505227-25505673,420109,939.84,420109,939.84,>500,>500,>500,100.0
chr2:25522978-25523239,116084,443.07,116084,443.07,380,395,395,100.0
chr2:25536752-25536976,245566,1091.40,245566,1091.40,>500,>500,>500,100.0
chr2:198266432-198266898,789468,1690.51,789468,1690.51,290,>500,>500,100.0
chr2:198267158-198267798,962947,1502.26,962947,1502.26,455,>500,>500,100.0
chr2:209113063-209113487,416558,980.14,416558,980.14,>500,>500,>500,100.0
chr3:38181853-38182515,707495,1067.11,707495,1067.11,>500,>500,>500,100.0
chr3:38182593-38182867,196697,715.26,196697,715.26,>500,>500,>500,100.0
chr3:105438859-105439305,278404,622.83,278404,622.83,441,497,>500,100.0
chr3:105452823-105453095,68386,250.50,68386,250.50,226,229,229,100.0
chr3:128199834-128200320,206149,423.30,206149,423.30,230,451,466,100.0
chr3:128200616-128200887,65593,241.15,65593,241.15,212,234,234,100.0
chr3:128202671-128202898,257244,1128.26,257244,1128.26,>500,>500,>500,100.0
chr3:128204540-128205382,635525,753.88,635525,753.88,448,>500,>500,100.0
chr3:128205614-128206075,290612,629.03,290612,629.03,299,>500,>500,100.0
chr4:55140978-55141252,212414,772.41,212414,772.41,>500,>500,>500,100.0
chr4:55144031-55144259,461910,2017.07,461910,2017.07,>500,>500,>500,100.0
chr4:55151978-55152212,461325,1963.09,461325,1963.09,>500,>500,>500,100.0
chr4:55561648-55562090,1013880,2288.67,1013880,2288.67,>500,>500,>500,100.0
chr4:55589716-55589940,521119,2316.08,521119,2316.08,>500,>500,>500,100.0
chr4:55591995-55592269,96939,352.51,96939,352.51,320,324,325,100.0
chr4:55593354-55593824,670811,1424.23,670811,1424.23,>500,>500,>500,100.0
chr4:55594147-55594419,277946,1018.12,277946,1018.12,>500,>500,>500,100.0
chr4:55599204-55599472,117364,436.30,117364,436.30,385,394,395,100.0
chr4:106154926-106158692,9490852,2519.47,9490852,2519.47,>500,>500,>500,100.0
chr4:106162404-106162670,276731,1036.45,276731,1036.45,>500,>500,>500,100.0
chr4:106163951-106164179,523343,2285.34,523343,2285.34,>500,>500,>500,100.0
chr4:106164701-106164966,530977,1996.15,530977,1996.15,>500,>500,>500,100.0
chr4:106180744-106181005,325061,1240.69,325061,1240.69,>500,>500,>500,100.0
