Target,total_coverage,average_coverage,sample_total_cvg,sample_mean_cvg,sample_granular_Q1,sample_granular_median,sample_granular_Q3,sample_%_above_15
chr1:36931668-36932582,572923,626.15,572923,626.15,>500,>500,>500,100.0
chr1:36932801-36933603,435376,542.19,435376,542.19,396,>500,>500,100.0
chr1:43814900-43815163,298275,1129.83,298275,1129.83,>500,>500,>500,100.0
chr1:115256391-115256650,52275,201.06,52275,201.06,169,181,181,100.0
chr1:115258643-115258903,468339,1794.40,468339,1794.40,>500,>500,>500,100.0
chr2:25457118-25457364,140780,569.96,140780,569.96,464,472,472,100.0
chr2:25458548-25458786,436690,1827.15,436690,1827.15,>500,>500,>500,100.0
chr2:25459775-25460041,264960,992.36,264960,992.36,>500,>500,>500,100.0
chr2:25461953-25462195,297715,1225.16,297715,1225.16,>500,>500,>500,100.0
chr2:25463141-25463777,934606,1467.20,934606,1467.20,>500,>500,>500,100.0
chr2:25464397-25464634,222098,933.18,222098,933.18,>500,>500,>500,100.0
chr2:25466739-25467236,551131,1106.69,551131,1106.69,>500,>500,>500,100.0
chr2:25467373-25467628,192672,752.63,192672,752.63,>500,>500,>500,100.0
chr2:25468088-25468344,195686,761.42,195686,761.42,>500,>500,>500,100.0
chr2:25468857-25469301,486672,1093.64,486672,1093.64,>500,>500,>500,100.0
chr2:25469457-25469727,122322,451.37,122322,451.37,404,406,412,100.0
chr2:25469890-25470160,115288,425.42,115288,425.42,377,391,392,100.0
chr2:25470428-25470654,189733,835.83,189733,835.83,>500,>500,>500,100.0
chr2:25470878-25471316,417182,950.30,417182,950.30,396,>500,>500,100.0
chr2:25472496-25472720,224459,997.60,224459,997.60,>500,>500,>500,100.0
chr2:25475031-25475256,302,1.34,302,1.34,1,3,3,0.0
chr2:25497774-25497998,39749,176.66,39749,176.66,131,137,262,100.0
chr2:25498341-25498567,329296,1450.64,329296,1450.64,>500,>500,>500,100.0
chr2:25505227-25505673,380990,852.33,380990,852.33,>500,>500,>500,100.0
chr2:25522978-25523239,112128,427.97,112128,427.97,368,381,381,100.0
chr2:25536752-25536976,296745,1318.87,296745,1318.87,>500,>500,>500,100.0
chr2:198266432-198266898,863902,1849.90,863902,1849.90,309,>500,>500,100.0
chr2:198267158-198267798,1032920,1611.42,1032920,1611.42,465,>500,>500,100.0
chr2:209113063-209113487,473786,1114.79,473786,1114.79,446,>500,>500,100.0
chr3:38181853-38182515,718933,1084.36,718933,1084.36,446,>500,>500,100.0
chr3:38182593-38182867,175717,638.97,175717,638.97,>500,>500,>500,100.0
chr3:105438859-105439305,257460,575.97,257460,575.97,385,489,>500,100.0
chr3:105452823-105453095,60730,222.45,60730,222.45,200,204,204,100.0
chr3:128199834-128200320,258175,530.13,258175,530.13,370,489,498,100.0
chr3:128200616-128200887,44828,164.81,44828,164.81,141,161,161,100.0
chr3:128202671-128202898,219781,963.95,219781,963.95,>500,>500,>500,100.0
chr3:128204540-128205382,701574,832.23,701574,832.23,226,>500,>500,100.0
chr3:128205614-128206075,310696,672.50,310696,672.50,291,>500,>500,100.0
chr4:55140978-55141252,246794,897.43,246794,897.43,>500,>500,>500,100.0
chr4:55144031-55144259,404593,1766.78,404593,1766.78,>500,>500,>500,100.0
chr4:55151978-55152212,417775,1777.77,417775,1777.77,>500,>500,>500,100.0
chr4:55561648-55562090,760775,1717.33,760775,1717.33,>500,>500,>500,100.0
chr4:55589716-55589940,499473,2219.88,499473,2219.88,>500,>500,>500,100.0
chr4:55591995-55592269,108989,396.32,108989,396.32,360,364,365,100.0
chr4:55593354-55593824,564459,1198.43,564459,1198.43,>500,>500,>500,100.0
chr4:55594147-55594419,245864,900.60,245864,900.60,>500,>500,>500,100.0
chr4:55599204-55599472,112818,419.40,112818,419.40,372,378,378,100.0
chr4:106154926-106158692,10186613,2704.17,10186613,2704.17,>500,>500,>500,100.0
chr4:106162404-106162670,266572,998.40,266572,998.40,>500,>500,>500,100.0
chr4:106163951-106164179,579232,2529.40,579232,2529.40,>500,>500,>500,100.0
chr4:106164701-106164966,625769,2352.52,625769,2352.52,>500,>500,>500,100.0
chr4:106180744-106181005,284155,1084.56,284155,1084.56,>500,>500,>500,100.0
chr4:106182810-106183050,368203,1527.81,368203,1527.81,>500,>500,>500,100.0
chr4:106190735-106190981,167788,679.30,167788,679.30,>500,>500,>500,100.0
chr4:106193691-106194163,944117,1996.02,944117,1996.02,>500,>500,>500,100.0
chr4:106196077-106197717,3733371,2275.06,3733371,2275.06,>500,>500,>500,100.0
chr4:153245306-153245758,584094,1289.39,584094,1289.39,>500,>500,>500,100.0
chr4:153247128-153247584,395337,865.07,395337,865.07,294,>500,>500,100.0
chr4:153249332-153249764,547128,1263.58,547128,1263.58,>500,>500,>500,100.0
chr5:170837493-170837717,280737,1247.72,280737,1247.72,>500,>500,>500,100.0
chr7:50358629-50358889,454451,1741.19,454451,1741.19,>500,>500,>500,100.0
chr7:50367205-50367433,427981,1868.91,427981,1868.91,>500,>500,>500,100.0
chr7:50444202-50444666,701621,1508.86,701621,1508.86,>500,>500,>500,100.0
chr7:50450213-50450462,361351,1445.40,361351,1445.40,>500,>500,>500,100.0
chr7:50455014-50455274,96700,370.50,96700,370.50,317,326,327,100.0
chr7:50459398-50459640,429854,1768.95,429854,1768.95,>500,>500,>500,100.0
chr7:50467593-50468449,827814,965.94,827814,965.94,326,>500,>500,100.0
chr7:101459282-101459534,11375,44.96,11375,44.96,38,41,42,100.0
chr7:101460891-101461145,287444,1127.23,287444,1127.23,>500,>500,>500,100.0
chr7:101559366-101559608,513702,2114.00,513702,2114.00,>500,>500,>500,100.0
chr7:101671351-101671597,418745,1695.32,418745,1695.32,>500,>500,>500,100.0
chr7:101713588-101713862,339810,1235.67,339810,1235.67,>500,>500,>500,100.0
chr7:101740617-101740883,267316,1001.18,267316,1001.18,>500,>500,>500,100.0
chr7:101747571-101747799,990361,4324.72,990361,4324.72,>500,>500,>500,100.0
chr7:101754951-101755197,526864,2133.05,526864,2133.05,>500,>500,>500,100.0
chr7:101758386-101758618,316077,1356.55,316077,1356.55,>500,>500,>500,100.0
chr7:101801813-101802047,403226,1715.86,403226,1715.86,>500,>500,>500,100.0
chr7:101813697-101813965,173471,644.87,173471,644.87,>500,>500,>500,100.0
chr7:101821720-101822148,370318,863.21,370318,863.21,>500,>500,>500,100.0
chr7:101833060-101833300,243206,1009.15,243206,1009.15,>500,>500,>500,100.0
chr7:101837095-101837325,610556,2643.10,610556,2643.10,>500,>500,>500,100.0
chr7:101838760-101839026,161904,606.38,161904,606.38,>500,>500,>500,100.0
chr7:101839885-101840713,965933,1165.18,965933,1165.18,>500,>500,>500,100.0
chr7:101842051-101842295,233251,952.04,233251,952.04,>500,>500,>500,100.0
chr7:101843326-101843592,309047,1157.48,309047,1157.48,>500,>500,>500,100.0
chr7:101844615-101845666,1393141,1324.28,1393141,1324.28,>500,>500,>500,100.0
chr7:101847648-101847914,208357,780.36,208357,780.36,>500,>500,>500,100.0
chr7:101848357-101848629,74425,272.62,74425,272.62,247,249,249,100.0
chr7:101870618-101871084,289574,620.07,289574,620.07,362,>500,>500,100.0
chr7:101877303-101877709,475319,1167.86,475319,1167.86,>500,>500,>500,100.0
chr7:101882573-101883018,531882,1192.56,531882,1192.56,>500,>500,>500,100.0
chr7:101891665-101892476,226906,279.44,226906,279.44,177,220,365,100.0
chr7:101916612-101916860,131640,528.67,131640,528.67,432,446,447,100.0
chr7:101917490-101917744,372960,1462.59,372960,1462.59,>500,>500,>500,100.0
chr7:101918491-101918751,216692,830.24,216692,830.24,>500,>500,>500,100.0
chr7:101921193-101921428,79298,336.01,79298,336.01,259,278,>500,100.0
chr7:101923304-101923551,74491,300.37,74491,300.37,239,259,264,100.0
chr7:101924073-101924345,196306,719.07,196306,719.07,>500,>500,>500,100.0
chr7:101925109-101925342,252429,1078.76,252429,1078.76,>500,>500,>500,100.0
chr7:101925979-101926457,15863,33.12,15863,33.12,7,7,17,25.9
chr7:140453045-140453272,643202,2821.06,643202,2821.06,>500,>500,>500,100.0
chr7:148504700-148504950,141527,563.85,141527,563.85,497,>500,>500,99.6
chr7:148506131-148506587,830143,1816.51,830143,1816.51,>500,>500,>500,100.0
chr7:148507393-148507623,253113,1095.73,253113,1095.73,>500,>500,>500,100.0
chr7:148508687-148508923,213250,899.79,213250,899.79,>500,>500,>500,100.0
chr7:148511021-148511279,376724,1454.53,376724,1454.53,>500,>500,>500,100.0
chr7:148511976-148512222,834445,3378.32,834445,3378.32,>500,>500,>500,100.0
chr7:148512568-148512806,300076,1255.55,300076,1255.55,>500,>500,>500,100.0
chr7:148513746-148514004,383936,1482.38,383936,1482.38,>500,>500,>500,100.0
