Target,total_coverage,average_coverage,sample_total_cvg,sample_mean_cvg,sample_granular_Q1,sample_granular_median,sample_granular_Q3,sample_%_above_15
chr1:36931668-36932582,645867,705.87,645867,705.87,>500,>500,>500,100.0
chr1:36932801-36933603,487706,607.35,487706,607.35,410,>500,>500,100.0
chr1:43814900-43815163,471980,1787.80,471980,1787.80,>500,>500,>500,100.0
chr1:115256391-115256650,9854,37.90,9854,37.90,33,34,35,100.0
chr1:115258643-115258903,571311,2188.93,571311,2188.93,>500,>500,>500,100.0
chr2:25457118-25457364,170786,691.44,170786,691.44,>500,>500,>500,100.0
chr2:25458548-25458786,550639,2303.93,550639,2303.93,>500,>500,>500,100.0
chr2:25459775-25460041,404653,1515.55,404653,1515.55,>500,>500,>500,100.0
chr2:25461953-25462195,430334,1770.92,430334,1770.92,>500,>500,>500,100.0
chr2:25463141-25463777,1203953,1890.04,1203953,1890.04,>500,>500,>500,100.0
chr2:25464397-25464634,260531,1094.67,260531,1094.67,>500,>500,>500,100.0
chr2:25466739-25467236,605230,1215.32,605230,1215.32,>500,>500,>500,100.0
chr2:25467373-25467628,230073,898.72,230073,898.72,>500,>500,>500,100.0
chr2:25468088-25468344,304677,1185.51,304677,1185.51,>500,>500,>500,100.0
chr2:25468857-25469301,489658,1100.36,489658,1100.36,>500,>500,>500,100.0
chr2:25469457-25469727,126127,465.41,126127,465.41,417,421,424,100.0
chr2:25469890-25470160,132969,490.66,132969,490.66,436,451,451,100.0
chr2:25470428-25470654,172617,760.43,172617,760.43,>500,>500,>500,100.0
chr2:25470878-25471316,547402,1246.93,547402,1246.93,>500,>500,>500,100.0
chr2:25472496-25472720,279866,1243.85,279866,1243.85,>500,>500,>500,100.0
chr2:25475031-25475256,151,0.67,151,0.67,1,2,2,0.0
chr2:25497774-25497998,48760,216.71,48760,216.71,162,166,323,100.0
chr2:25498341-25498567,309932,1365.34,309932,1365.34,>500,>500,>500,100.0
chr2:25505227-25505673,451720,1010.56,451720,1010.56,>500,>500,>500,100.0
chr2:25522978-25523239,144867,552.93,144867,552.93,473,493,493,100.0
chr2:25536752-25536976,269798,1199.10,269798,1199.10,>500,>500,>500,100.0
chr2:198266432-198266898,1030919,2207.54,1030919,2207.54,320,>500,>500,100.0
chr2:198267158-198267798,954142,1488.52,954142,1488.52,>500,>500,>500,100.0
chr2:209113063-209113487,516399,1215.06,516399,1215.06,>500,>500,>500,100.0
chr3:38181853-38182515,858345,1294.64,858345,1294.64,>500,>500,>500,100.0
chr3:38182593-38182867,254258,924.57,254258,924.57,>500,>500,>500,100.0
chr3:105438859-105439305,319405,714.55,319405,714.55,476,>500,>500,100.0
chr3:105452823-105453095,73942,270.85,73942,270.85,244,249,249,100.0
chr3:128199834-128200320,203559,417.99,203559,417.99,337,341,344,100.0
chr3:128200616-128200887,23610,86.80,23610,86.80,77,84,84,100.0
chr3:128202671-128202898,304874,1337.17,304874,1337.17,>500,>500,>500,100.0
chr3:128204540-128205382,638178,757.03,638178,757.03,442,>500,>500,100.0
chr3:128205614-128206075,355032,768.47,355032,768.47,348,>500,>500,100.0
chr4:55140978-55141252,298119,1084.07,298119,1084.07,>500,>500,>500,100.0
chr4:55144031-55144259,531745,2322.03,531745,2322.03,>500,>500,>500,100.0
chr4:55151978-55152212,614360,2614.30,614360,2614.30,>500,>500,>500,100.0
chr4:55561648-55562090,1286389,2903.81,1286389,2903.81,>500,>500,>500,100.0
chr4:55589716-55589940,529823,2354.77,529823,2354.77,>500,>500,>500,100.0
chr4:55591995-55592269,120771,439.17,120771,439.17,398,404,405,100.0
chr4:55593354-55593824,765487,1625.24,765487,1625.24,>500,>500,>500,100.0
chr4:55594147-55594419,302364,1107.56,302364,1107.56,>500,>500,>500,100.0
chr4:55599204-55599472,116741,433.98,116741,433.98,382,393,394,100.0
chr4:106154926-106158692,11294476,2998.27,11294476,2998.27,>500,>500,>500,100.0
chr4:106162404-106162670,374799,1403.74,374799,1403.74,>500,>500,>500,100.0
chr4:106163951-106164179,706552,3085.38,706552,3085.38,>500,>500,>500,100.0
chr4:106164701-106164966,387252,1455.83,387252,1455.83,>500,>500,>500,100.0
