Target,total_coverage,average_coverage,sample_total_cvg,sample_mean_cvg,sample_granular_Q1,sample_granular_median,sample_granular_Q3,sample_%_above_15
chr1:36931668-36932582,624125,682.10,624125,682.10,>500,>500,>500,100.0
chr1:36932801-36933603,569809,709.60,569809,709.60,449,>500,>500,100.0
chr1:43814900-43815163,553547,2096.77,553547,2096.77,>500,>500,>500,100.0
chr1:115256391-115256650,44190,169.96,44190,169.96,146,150,150,100.0
chr1:115258643-115258903,553606,2121.10,553606,2121.10,>500,>500,>500,100.0
chr2:25457118-25457364,180928,732.50,180928,732.50,>500,>500,>500,100.0
chr2:25458548-25458786,507485,2123.37,507485,2123.37,>500,>500,>500,100.0
chr2:25459775-25460041,497686,1863.99,497686,1863.99,>500,>500,>500,100.0
chr2:25461953-25462195,407005,1674.92,407005,1674.92,>500,>500,>500,100.0
chr2:25463141-25463777,1140649,1790.66,1140649,1790.66,>500,>500,>500,100.0
chr2:25464397-25464634,233337,980.41,233337,980.41,>500,>500,>500,100.0
chr2:25466739-25467236,491992,987.94,491992,987.94,>500,>500,>500,100.0
chr2:25467373-25467628,257872,1007.31,257872,1007.31,>500,>500,>500,100.0
chr2:25468088-25468344,303281,1180.08,303281,1180.08,>500,>500,>500,100.0
chr2:25468857-25469301,655351,1472.70,655351,1472.70,>500,>500,>500,100.0
chr2:25469457-25469727,140020,516.68,140020,516.68,463,464,471,100.0
chr2:25469890-25470160,118875,438.65,118875,438.65,387,405,406,100.0
chr2:25470428-25470654,222193,978.82,222193,978.82,>500,>500,>500,100.0
chr2:25470878-25471316,581900,1325.51,581900,1325.51,>500,>500,>500,100.0
chr2:25472496-25472720,295134,1311.71,295134,1311.71,>500,>500,>500,100.0
chr2:25475031-25475256,488,2.16,488,2.16,1,5,5,0.0
chr2:25497774-25497998,45690,203.07,45690,203.07,151,155,303,100.0
chr2:25498341-25498567,474891,2092.03,474891,2092.03,>500,>500,>500,100.0
chr2:25505227-25505673,463283,1036.43,463283,1036.43,>500,>500,>500,100.0
chr2:25522978-25523239,140688,536.98,140688,536.98,464,475,475,100.0
chr2:25536752-25536976,281538,1251.28,281538,1251.28,>500,>500,>500,100.0
chr2:198266432-198266898,873904,1871.31,873904,1871.31,351,>500,>500,100.0
chr2:198267158-198267798,1098902,1714.36,1098902,1714.36,>500,>500,>500,100.0
chr2:209113063-209113487,521644,1227.40,521644,1227.40,>500,>500,>500,100.0
chr3:38181853-38182515,838468,1264.66,838468,1264.66,>500,>500,>500,100.0
chr3:38182593-38182867,245413,892.41,245413,892.41,>500,>500,>500,100.0
chr3:105438859-105439305,316956,709.07,316956,709.07,>500,>500,>500,100.0
chr3:105452823-105453095,74810,274.03,74810,274.03,244,253,254,100.0
chr3:128199834-128200320,230632,473.58,230632,473.58,324,443,453,100.0
chr3:128200616-128200887,65278,239.99,65278,239.99,210,232,233,100.0
chr3:128202671-128202898,281003,1232.47,281003,1232.47,>500,>500,>500,100.0
chr3:128204540-128205382,650875,772.09,650875,772.09,334,>500,>500,100.0
chr3:128205614-128206075,335628,726.47,335628,726.47,345,>500,>500,100.0
